Designator,Mid X,Mid Y,Rotation,Layer
C1,219.456,-79.248,90.0,top
C2,224.663,-82.296,90.0,top
C3,211.582,-89.154,270.0,top
C4,224.028,-93.345,0.0,top
C5,224.79,-96.52,0.0,top
D1,218.948,-71.628,180.0,top
D2,214.63,-82.7405,180.0,top
D3,214.63,-85.9155,0.0,top
D4,201.93,-99.695,180.0,top
J3,208.915,-75.184,180.0,top
J5,153.67,-109.22,270.0,top
R1,216.154,-77.0255,270.0,top
R2,201.676,-77.0255,270.0,top
R3,203.835,-120.65,90.0,top
R4,220.98,-96.52,180.0,top
R5,219.71,-83.185,0.0,top
R6,201.93,-102.87,180.0,top
SW1,214.63,-94.615,180.0,top
SW2,152.4,-86.36,180.0,top
SW3,165.1,-76.2,0.0,top
SW4,165.1,-86.36,180.0,top
SW5,177.8,-86.36,180.0,top
U1,208.915,-82.7405,180.0,top
U2,221.488,-87.884,0.0,top
U3,215.861,-108.585,270.0,top
